Year,District,Age Group,Gender,Primary,Middle,Matriculation/Secondary,Higher Secondary/ Intermediate/ Pre University/ Senior Secondary,Non technical diploma or certificate not equal to degree,Technical diploma or certificate not equal to degree,Graduate and above
2011,Yavatmal,All ages,Female,204303,136028,117845,71677,100,1944,37364
1991,Ahilyanagar,0-6,Male,0,0,0,0,0,0,0
1991,Amravati,0-6,Male,0,0,0,0,0,0,0
1991,Beed,0-6,Male,0,0,0,0,0,0,0
1991,Buldhana,0-6,Male,0,0,0,0,0,0,0
1991,Chandrapur,0-6,Male,0,0,0,0,0,0,0
1991,Chhatrapati Sambhaji Nagar,0-6,Male,0,0,0,0,0,0,0
1991,Dharashiv,0-6,Male,0,0,0,0,0,0,0
1991,Gadchiroli,0-6,Male,0,0,0,0,0,0,0
1991,Jalgaon,0-6,Male,0,0,0,0,0,0,0
1991,Jalna,0-6,Male,0,0,0,0,0,0,0
1991,Kolhapur,0-6,Male,0,0,0,0,0,0,0
1991,Latur,0-6,Male,0,0,0,0,0,0,0
1991,Nagpur,0-6,Male,0,0,0,0,0,0,0
1991,Nashik,0-6,Male,0,0,0,0,0,0,0
1991,Parbhani,0-6,Male,0,0,0,0,0,0,0
1991,Pune,0-6,Male,0,0,0,0,0,0,0
1991,Raigad,0-6,Male,0,0,0,0,0,0,0
1991,Ratnagiri,0-6,Male,0,0,0,0,0,0,0
1991,Sangli,0-6,Male,0,0,0,0,0,0,0
1991,Satara,0-6,Male,0,0,0,0,0,0,0
1991,Sindhudurg,0-6,Male,0,0,0,0,0,0,0
1991,Solapur,0-6,Male,0,0,0,0,0,0,0
1991,Thane,0-6,Male,0,0,0,0,0,0,0
1991,Wardha,0-6,Male,0,0,0,0,0,0,0
1991,Yavatmal,0-6,Male,0,0,0,0,0,0,0
2001,Ahilyanagar,0-6,Male,0,0,0,0,0,0,0
2001,Akola,0-6,Male,0,0,0,0,0,0,0
2001,Amravati,0-6,Male,0,0,0,0,0,0,0
2001,Beed,0-6,Male,0,0,0,0,0,0,0
2001,Bhandara,0-6,Male,0,0,0,0,0,0,0
2001,Buldhana,0-6,Male,0,0,0,0,0,0,0
2001,Chandrapur,0-6,Male,0,0,0,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,0-6,Male,0,0,0,0,0,0,0
2001,Dharashiv,0-6,Male,0,0,0,0,0,0,0
2001,Dhule,0-6,Male,0,0,0,0,0,0,0
2001,Gadchiroli,0-6,Male,0,0,0,0,0,0,0
2001,Gondia,0-6,Male,0,0,0,0,0,0,0
2001,Hingoli,0-6,Male,0,0,0,0,0,0,0
2001,Jalgaon,0-6,Male,0,0,0,0,0,0,0
2001,Jalna,0-6,Male,0,0,0,0,0,0,0
2001,Kolhapur,0-6,Male,0,0,0,0,0,0,0
2001,Latur,0-6,Male,0,0,0,0,0,0,0
2001,Mumbai City,0-6,Male,0,0,0,0,0,0,0
2001,Mumbai Suburban,0-6,Male,0,0,0,0,0,0,0
2001,Nagpur,0-6,Male,0,0,0,0,0,0,0
2001,Nanded,0-6,Male,0,0,0,0,0,0,0
2001,Nandurbar,0-6,Male,0,0,0,0,0,0,0
2001,Nashik,0-6,Male,0,0,0,0,0,0,0
2001,Parbhani,0-6,Male,0,0,0,0,0,0,0
2001,Pune,0-6,Male,0,0,0,0,0,0,0
2001,Raigad,0-6,Male,0,0,0,0,0,0,0
2001,Ratnagiri,0-6,Male,0,0,0,0,0,0,0
2001,Sangli,0-6,Male,0,0,0,0,0,0,0
2001,Satara,0-6,Male,0,0,0,0,0,0,0
2001,Sindhudurg,0-6,Male,0,0,0,0,0,0,0
2001,Solapur,0-6,Male,0,0,0,0,0,0,0
2001,Thane,0-6,Male,0,0,0,0,0,0,0
2001,Wardha,0-6,Male,0,0,0,0,0,0,0
2001,Washim,0-6,Male,0,0,0,0,0,0,0
2001,Yavatmal,0-6,Male,0,0,0,0,0,0,0
2011,Ahilyanagar,0-6,Male,0,0,0,0,0,0,0
2011,Akola,0-6,Male,0,0,0,0,0,0,0
2011,Amravati,0-6,Male,0,0,0,0,0,0,0
2011,Beed,0-6,Male,0,0,0,0,0,0,0
2011,Bhandara,0-6,Male,0,0,0,0,0,0,0
2011,Buldhana,0-6,Male,0,0,0,0,0,0,0
2011,Chandrapur,0-6,Male,0,0,0,0,0,0,0
2011,Chhatrapati Sambhaji Nagar,0-6,Male,0,0,0,0,0,0,0
2011,Dharashiv,0-6,Male,0,0,0,0,0,0,0
